,location,total_sqft,bath,size_BHK,price
100,7th Phase JP Nagar,1680.0,3.0,3,120.0
101,7th Phase JP Nagar,1175.0,2.0,2,82.5
104,7th Phase JP Nagar,1215.0,2.0,2,90.0
105,7th Phase JP Nagar,1050.0,2.0,2,75.0
106,7th Phase JP Nagar,1300.0,3.0,3,89.13
107,7th Phase JP Nagar,1130.0,2.0,2,73.0
108,7th Phase JP Nagar,1450.0,3.0,3,100.0
110,7th Phase JP Nagar,1050.0,2.0,2,50.0
111,7th Phase JP Nagar,1275.0,2.0,2,87.0
113,7th Phase JP Nagar,1650.0,3.0,3,110.0
114,7th Phase JP Nagar,850.0,2.0,2,42.0
115,7th Phase JP Nagar,1680.0,3.0,3,117.0
116,7th Phase JP Nagar,1850.0,3.0,3,150.0
117,7th Phase JP Nagar,1236.0,2.0,2,61.33
118,7th Phase JP Nagar,1000.0,2.0,2,53.0
119,7th Phase JP Nagar,1680.0,3.0,3,125.0
120,7th Phase JP Nagar,1675.0,2.0,3,135.0
121,7th Phase JP Nagar,1187.0,2.0,2,59.0
122,7th Phase JP Nagar,1850.0,3.0,3,155.0
123,7th Phase JP Nagar,1000.0,2.0,2,61.0
124,7th Phase JP Nagar,1460.0,2.0,3,100.0
125,7th Phase JP Nagar,1650.0,3.0,3,110.0
126,7th Phase JP Nagar,1200.0,2.0,2,62.5
127,7th Phase JP Nagar,1000.0,2.0,2,70.65
128,7th Phase JP Nagar,1080.0,2.0,2,75.0
130,7th Phase JP Nagar,1680.0,3.0,3,125.0
131,7th Phase JP Nagar,1460.0,2.0,3,97.0
132,7th Phase JP Nagar,1120.0,2.0,2,65.0
133,7th Phase JP Nagar,1100.0,3.0,2,60.0
134,7th Phase JP Nagar,1790.0,3.0,3,120.0
135,7th Phase JP Nagar,1680.0,3.0,3,117.0
136,7th Phase JP Nagar,1050.0,2.0,2,77.0
137,7th Phase JP Nagar,1050.0,2.0,2,75.0
138,7th Phase JP Nagar,1040.0,2.0,2,75.0
139,7th Phase JP Nagar,1400.0,2.0,3,95.0
140,7th Phase JP Nagar,1800.0,3.0,3,130.0
141,7th Phase JP Nagar,1050.0,2.0,2,68.0
142,7th Phase JP Nagar,1000.0,2.0,2,60.0
143,7th Phase JP Nagar,1680.0,3.0,3,125.0
144,7th Phase JP Nagar,1050.0,2.0,2,77.47
145,7th Phase JP Nagar,1270.0,2.0,2,80.0
147,7th Phase JP Nagar,1680.0,3.0,3,122.0
148,7th Phase JP Nagar,1130.0,2.0,2,85.0
149,7th Phase JP Nagar,1680.0,3.0,3,130.0
150,7th Phase JP Nagar,980.0,2.0,2,77.44
151,7th Phase JP Nagar,1680.0,3.0,3,112.0
153,7th Phase JP Nagar,2095.0,3.0,3,150.0
154,7th Phase JP Nagar,1976.0,3.0,3,145.0
155,7th Phase JP Nagar,1600.0,2.0,3,110.0
156,7th Phase JP Nagar,1765.0,3.0,3,118.0
157,7th Phase JP Nagar,1275.0,2.0,3,88.0
158,7th Phase JP Nagar,1450.0,2.0,3,102.0
159,7th Phase JP Nagar,1575.0,2.0,3,110.0
161,7th Phase JP Nagar,750.0,1.0,1,47.0
162,7th Phase JP Nagar,990.0,2.0,2,50.0
163,7th Phase JP Nagar,1000.0,1.0,1,60.0
165,7th Phase JP Nagar,1430.0,2.0,3,102.0
166,7th Phase JP Nagar,1128.0,2.0,2,60.0
167,7th Phase JP Nagar,1140.0,2.0,2,57.0
168,7th Phase JP Nagar,1420.0,3.0,3,90.0
169,7th Phase JP Nagar,1530.0,2.0,2,108.0
170,8th Phase JP Nagar,1073.5,2.0,2,54.005
171,8th Phase JP Nagar,451.0,1.0,1,29.9
173,8th Phase JP Nagar,1062.0,2.0,2,42.47
175,8th Phase JP Nagar,1455.0,3.0,3,73.31
176,8th Phase JP Nagar,871.0,2.0,2,55.0
177,8th Phase JP Nagar,1098.0,2.0,2,43.91
178,8th Phase JP Nagar,1800.0,3.0,3,80.0
179,8th Phase JP Nagar,2700.0,4.0,4,130.0
180,8th Phase JP Nagar,1080.0,2.0,2,38.0
181,8th Phase JP Nagar,1059.0,2.0,2,34.5
182,8th Phase JP Nagar,1080.0,2.0,2,35.0
184,8th Phase JP Nagar,1062.0,2.0,2,42.47
185,8th Phase JP Nagar,500.0,1.0,1,31.0
186,8th Phase JP Nagar,1100.0,2.0,2,35.0
187,8th Phase JP Nagar,2100.0,4.0,4,92.0
188,8th Phase JP Nagar,1035.0,2.0,2,39.33
189,8th Phase JP Nagar,909.0,2.0,2,40.9
190,8th Phase JP Nagar,1431.5,3.0,3,72.02
191,8th Phase JP Nagar,1900.0,4.0,3,90.0
192,8th Phase JP Nagar,500.0,1.0,1,30.0
193,8th Phase JP Nagar,1125.0,2.0,2,36.94
194,8th Phase JP Nagar,1100.0,2.0,2,35.0
195,8th Phase JP Nagar,1089.0,2.0,2,43.55
197,8th Phase JP Nagar,1504.0,2.0,3,83.0
198,8th Phase JP Nagar,2600.0,4.0,4,115.0
200,8th Phase JP Nagar,1089.0,2.0,2,43.55
202,8th Phase JP Nagar,1513.0,2.0,2,62.0
203,8th Phase JP Nagar,1298.0,2.0,2,59.0
204,8th Phase JP Nagar,1006.0,2.0,2,44.0
205,8th Phase JP Nagar,500.0,1.0,1,33.0
206,8th Phase JP Nagar,1160.0,2.0,2,95.0
207,8th Phase JP Nagar,1245.0,2.0,2,59.0
208,8th Phase JP Nagar,1510.0,2.0,2,80.0
209,8th Phase JP Nagar,3300.0,3.0,3,165.0
210,8th Phase JP Nagar,1730.0,5.0,5,75.0
213,8th Phase JP Nagar,1046.0,2.0,2,48.0
215,8th Phase JP Nagar,1408.0,3.0,3,80.0
217,9th Phase JP Nagar,1005.0,2.0,2,50.0
219,9th Phase JP Nagar,1100.0,2.0,2,65.0
220,9th Phase JP Nagar,1080.0,2.0,2,37.0
221,9th Phase JP Nagar,1035.0,2.0,2,45.0
222,9th Phase JP Nagar,5000.0,4.0,4,290.0
223,9th Phase JP Nagar,1164.0,2.0,2,56.0
224,9th Phase JP Nagar,1005.0,2.0,2,42.0
225,9th Phase JP Nagar,1127.0,2.0,2,50.0
226,9th Phase JP Nagar,1005.0,2.0,2,43.0
227,9th Phase JP Nagar,835.0,2.0,2,37.0
228,9th Phase JP Nagar,1050.0,2.0,2,39.0
229,9th Phase JP Nagar,660.0,2.0,2,27.0
230,9th Phase JP Nagar,600.0,1.0,1,20.0
231,9th Phase JP Nagar,1466.0,2.0,2,71.0
232,9th Phase JP Nagar,1890.0,2.0,3,93.0
233,9th Phase JP Nagar,1079.0,2.0,2,60.0
234,9th Phase JP Nagar,1480.0,2.0,2,80.0
235,9th Phase JP Nagar,1200.0,2.0,2,80.0
236,9th Phase JP Nagar,905.0,2.0,2,32.0
237,9th Phase JP Nagar,1073.0,2.0,2,52.36
238,9th Phase JP Nagar,1719.3,2.0,3,88.0
239,9th Phase JP Nagar,1780.0,3.0,3,88.0
241,9th Phase JP Nagar,1522.0,3.0,3,90.0
244,9th Phase JP Nagar,890.0,2.0,2,45.0
246,9th Phase JP Nagar,5000.0,4.0,4,300.0
248,9th Phase JP Nagar,1050.0,2.0,2,35.0
249,9th Phase JP Nagar,1331.95,2.0,2,69.0
250,Abbigere,985.0,2.0,2,40.39
251,Abbigere,2200.0,6.0,6,68.0
252,Abbigere,765.0,2.0,1,30.0
253,Abbigere,880.0,2.0,2,35.0
254,Abbigere,795.0,2.0,2,32.54
255,Abbigere,1005.0,2.0,2,39.59
256,Abbigere,734.0,1.0,1,19.82
258,Abbigere,1020.0,2.0,2,41.82
259,Abbigere,985.0,2.0,2,40.39
260,Abbigere,2500.0,6.0,6,81.0
261,Abbigere,795.0,2.0,2,32.54
262,Abbigere,1130.0,2.0,2,46.33
263,Abbigere,795.0,1.0,2,32.6
264,Abbigere,3000.0,8.0,8,150.0
265,Abbigere,985.0,2.0,2,38.92
266,Abbigere,1000.0,2.0,2,41.0
267,Abbigere,995.0,2.0,2,40.8
268,Abbigere,1020.0,2.0,2,40.8
269,Akshaya Nagar,1388.0,2.0,2,57.0
270,Akshaya Nagar,1070.0,2.0,2,54.0
271,Akshaya Nagar,1280.0,2.0,2,58.0
272,Akshaya Nagar,1662.0,3.0,3,85.1
273,Akshaya Nagar,1897.0,3.0,3,120.0
274,Akshaya Nagar,1410.0,2.0,3,75.0
275,Akshaya Nagar,1360.0,2.0,3,85.0
277,Akshaya Nagar,1410.0,2.0,3,80.0
278,Akshaya Nagar,1662.0,3.0,3,85.0
279,Akshaya Nagar,1662.0,3.0,3,85.5
280,Akshaya Nagar,1280.0,2.0,2,60.0
281,Akshaya Nagar,1666.0,3.0,3,95.0
282,Akshaya Nagar,1575.0,3.0,3,90.0
283,Akshaya Nagar,1430.0,2.0,3,75.0
284,Akshaya Nagar,1419.0,2.0,3,73.0
285,Akshaya Nagar,1280.0,2.0,2,60.0
286,Akshaya Nagar,1200.0,2.0,2,50.0
287,Akshaya Nagar,1092.0,2.0,2,60.0
288,Akshaya Nagar,1690.0,3.0,3,85.0
290,Akshaya Nagar,1897.0,4.0,3,93.0
291,Akshaya Nagar,1884.0,3.0,3,98.0
292,Akshaya Nagar,1314.0,2.0,2,68.8
293,Akshaya Nagar,1690.0,3.0,3,85.0
294,Akshaya Nagar,1265.0,2.0,2,67.0
295,Akshaya Nagar,1126.0,2.0,2,55.0
297,Akshaya Nagar,1662.0,3.0,3,90.0
298,Akshaya Nagar,1420.0,2.0,3,75.0
299,Akshaya Nagar,1412.0,2.0,3,88.0
300,Akshaya Nagar,1434.0,3.0,3,84.0
301,Akshaya Nagar,1890.0,4.0,3,100.0
303,Akshaya Nagar,1419.0,2.0,3,87.0
304,Akshaya Nagar,1300.0,2.0,2,54.0
305,Akshaya Nagar,1690.0,3.0,3,85.0
306,Akshaya Nagar,1113.0,2.0,2,52.0
307,Akshaya Nagar,1820.0,4.0,3,95.0
308,Akshaya Nagar,1100.0,2.0,2,48.0
309,Akshaya Nagar,1896.0,3.0,3,102.0
310,Akshaya Nagar,1300.0,2.0,2,66.0
311,Akshaya Nagar,1225.0,2.0,2,68.0
312,Akshaya Nagar,1179.0,2.0,2,51.0
313,Akshaya Nagar,1421.0,2.0,3,73.0
314,Akshaya Nagar,1893.0,4.0,3,95.0
315,Akshaya Nagar,900.0,2.0,2,45.0
316,Ambalipura,1105.0,2.0,2,75.0
317,Ambalipura,1800.0,3.0,3,110.0
318,Ambalipura,1150.0,2.0,2,80.0
319,Ambalipura,1250.0,2.0,2,66.25
320,Ambalipura,1332.0,2.0,2,79.0
321,Ambalipura,1730.0,3.0,3,120.0
323,Ambalipura,1230.0,2.0,2,66.25
324,Ambalipura,1351.0,2.0,2,77.0
328,Ambalipura,1303.0,2.0,2,80.0
329,Ambalipura,1607.0,2.0,3,112.0
330,Ambalipura,770.0,1.0,1,43.82
331,Ambalipura,1700.0,2.0,2,76.0
332,Ambalipura,1060.0,2.0,2,58.5
333,Ambalipura,1650.0,3.0,3,100.0
334,Ambalipura,1607.0,2.0,3,112.0
335,Ambalipura,1198.0,2.0,2,80.0
336,Ambedkar Nagar,1935.0,4.0,3,130.0
337,Ambedkar Nagar,1424.0,2.0,2,90.0
338,Ambedkar Nagar,2225.0,4.0,3,169.0
339,Ambedkar Nagar,1862.0,3.0,3,120.0
340,Ambedkar Nagar,1850.0,4.0,3,139.0
341,Ambedkar Nagar,1936.0,4.0,3,126.0
342,Ambedkar Nagar,1862.0,3.0,3,119.0
343,Ambedkar Nagar,1424.0,2.0,2,90.0
344,Ambedkar Nagar,2150.0,4.0,3,125.0
345,Ambedkar Nagar,3530.0,4.0,4,290.0
346,Ambedkar Nagar,1856.0,3.0,3,120.0
347,Ambedkar Nagar,1852.0,3.0,3,130.0
348,Ambedkar Nagar,1850.0,4.0,3,120.0
349,Ambedkar Nagar,1367.0,2.0,2,86.0
350,Ambedkar Nagar,3565.0,4.0,4,255.0
351,Ambedkar Nagar,1409.0,2.0,2,95.0
352,Ambedkar Nagar,1950.0,4.0,3,120.0
353,Ambedkar Nagar,1921.0,4.0,3,129.0
354,Ambedkar Nagar,1920.0,4.0,3,121.0
355,Ambedkar Nagar,1935.0,4.0,3,125.0
356,Ambedkar Nagar,1852.0,4.0,3,122.0
357,Ambedkar Nagar,1950.0,4.0,3,120.0
358,Ambedkar Nagar,1852.0,3.0,3,125.0
359,Ambedkar Nagar,1850.0,4.0,3,121.0
360,Ambedkar Nagar,1425.0,2.0,2,94.0
361,Ambedkar Nagar,2395.0,4.0,3,150.0
362,Amruthahalli,900.0,2.0,2,40.0
363,Amruthahalli,1200.0,2.0,2,55.0
364,Amruthahalli,1900.0,3.0,3,135.0
365,Amruthahalli,924.0,2.0,2,45.0
366,Amruthahalli,900.0,2.0,2,60.0
367,Amruthahalli,1100.0,2.0,2,45.0
368,Amruthahalli,1200.0,2.0,2,55.0
372,Amruthahalli,1450.0,2.0,3,85.0
373,Amruthahalli,1200.0,2.0,2,55.0
374,Amruthahalli,1250.0,2.0,2,79.0
375,Amruthahalli,1190.0,2.0,2,50.0
376,Amruthahalli,1202.0,2.0,2,65.0
377,Amruthahalli,1340.0,2.0,2,75.0
378,Amruthahalli,2650.0,4.0,3,175.0
379,Amruthahalli,1450.0,2.0,3,90.0
380,Amruthahalli,1025.0,2.0,2,42.0
381,Amruthahalli,485.0,1.0,1,19.5
382,Anandapura,1167.0,2.0,2,43.76
383,Anandapura,1000.0,2.0,2,55.0
384,Anandapura,1141.0,2.0,2,42.79
386,Anandapura,1200.0,2.0,2,67.0
387,Anandapura,1200.0,2.0,2,58.0
388,Anandapura,1151.0,2.0,2,43.1
389,Anandapura,1141.0,2.0,2,42.75
390,Anandapura,900.0,2.0,2,48.0
391,Anandapura,1749.0,4.0,4,90.0
392,Anandapura,1151.0,2.0,2,42.9
394,Anandapura,1250.0,2.0,2,45.0
395,Anandapura,1151.0,2.0,2,43.16
396,Anandapura,1200.0,2.0,2,58.0
397,Anandapura,1200.0,2.0,3,66.0
398,Anandapura,1415.0,2.0,3,74.0
399,Anandapura,1200.0,2.0,2,50.0
400,Anandapura,1141.0,2.0,2,50.0
402,Ananth Nagar,500.0,1.0,1,14.0
403,Ananth Nagar,1100.0,2.0,2,31.5
404,Ananth Nagar,982.0,2.0,2,24.55
405,Ananth Nagar,500.0,2.0,1,14.0
406,Ananth Nagar,900.0,2.0,2,22.5
407,Ananth Nagar,908.0,2.0,2,26.0
408,Ananth Nagar,870.0,2.0,2,36.0
409,Ananth Nagar,937.0,2.0,2,35.0
410,Ananth Nagar,960.0,2.0,2,37.0
411,Ananth Nagar,500.0,1.0,1,14.0
412,Ananth Nagar,1000.0,2.0,2,29.7
413,Ananth Nagar,850.0,2.0,2,25.99
414,Ananth Nagar,902.0,2.0,2,25.26
415,Ananth Nagar,1470.0,3.0,3,54.0
416,Ananth Nagar,810.0,2.0,2,25.5
417,Ananth Nagar,890.0,2.0,2,27.0
418,Ananth Nagar,1200.0,2.0,2,36.0
420,Ananth Nagar,1319.0,3.0,3,42.0
421,Ananth Nagar,1000.0,2.0,2,25.0
422,Ananth Nagar,902.0,2.0,2,25.0
423,Ananth Nagar,930.0,2.0,2,25.99
424,Ananth Nagar,1074.0,2.0,2,26.85
425,Ananth Nagar,500.0,1.0,1,14.0
426,Ananth Nagar,1010.0,2.0,2,38.0
427,Ananth Nagar,992.0,2.0,2,24.8
429,Anekal,656.0,2.0,2,22.0
430,Anekal,620.0,2.0,2,22.0
431,Anekal,600.0,1.0,1,16.5
432,Anekal,925.0,2.0,2,40.0
433,Anekal,530.0,1.0,1,18.0
434,Anekal,1800.0,3.0,3,68.0
436,Anekal,351.0,1.0,1,16.0
437,Anekal,1035.0,2.0,2,38.3
438,Anekal,888.0,2.0,2,34.0
442,Anekal,1200.0,2.0,4,36.0
443,Anekal,766.0,2.0,2,28.0
444,Anekal,967.0,2.0,3,45.0
445,Anekal,620.0,1.0,2,23.5
446,Anekal,1150.0,3.0,3,45.0
449,Anekal,400.0,1.0,1,11.5
450,Anekal,456.0,1.0,1,15.0
453,Anekal,2400.0,4.0,3,95.0
457,Anekal,420.0,1.0,1,12.5
458,Anekal,614.0,1.0,2,28.0
459,Anekal,1140.0,2.0,2,52.0
460,Anekal,625.0,1.0,2,25.0
461,Ardendale,1750.0,3.0,3,100.0
462,Ardendale,3198.0,4.0,4,200.0
463,Ardendale,2422.0,4.0,4,160.0
464,Ardendale,1750.0,3.0,3,100.0
465,Ardendale,3200.0,4.0,4,205.0
466,Ardendale,1728.0,3.0,3,95.0
467,Ardendale,2062.0,3.0,4,140.0
468,Ardendale,1732.46,3.0,3,92.0
469,Ardendale,2062.0,3.0,4,150.0
471,Ardendale,1224.0,2.0,2,70.0
472,Ardendale,1777.26,3.0,3,105.0
473,Ardendale,1650.0,3.0,3,82.0
474,Ardendale,2062.0,3.0,4,140.0
475,Ardendale,1650.0,3.0,3,82.0
476,Ardendale,1224.0,2.0,2,67.0
477,Ardendale,1723.0,3.0,3,95.0
478,Ardendale,1777.26,3.0,3,89.0
479,Ardendale,1777.26,3.0,3,92.0
480,Attibele,450.0,1.0,1,11.0
481,Attibele,1600.0,4.0,4,52.8
482,Attibele,656.0,2.0,2,25.0
483,Attibele,400.0,1.0,1,11.0
484,Attibele,400.0,1.0,1,12.0
485,Attibele,400.0,1.0,1,14.0
486,Attibele,500.0,1.0,1,17.0
487,Attibele,2168.0,4.0,4,95.0
488,Attibele,395.0,1.0,1,10.25
489,Attibele,420.0,1.0,1,17.0
491,Attibele,418.0,1.0,1,12.0
492,Attibele,1200.0,2.0,2,42.0
493,Attibele,400.0,1.0,1,10.0
494,Attibele,695.0,1.0,2,25.0
495,Attibele,850.0,1.0,2,25.0
496,Attibele,2400.0,3.0,3,120.0
497,Attibele,450.0,1.0,1,12.5
501,Attibele,782.0,1.0,1,19.55
503,Attibele,656.0,2.0,2,25.0
504,Attibele,400.0,1.0,1,11.5
505,Attibele,460.0,1.0,1,13.0
506,Attibele,418.0,2.0,1,11.5
507,Attibele,1000.0,2.0,2,42.0
508,Attibele,550.0,1.0,1,11.5
510,Attibele,410.0,1.0,1,10.0
511,Attibele,1700.0,3.0,3,65.0
512,Attibele,400.0,1.0,1,10.25
513,Attibele,656.0,2.0,2,25.0
514,Attibele,1500.0,3.0,3,90.0
515,Attibele,520.0,1.0,1,15.0
516,BTM 2nd Stage,1260.0,5.0,3,185.0
517,BTM 2nd Stage,950.0,2.0,2,52.0
518,BTM 2nd Stage,1850.0,3.0,3,170.0
519,BTM 2nd Stage,1200.0,2.0,2,80.0
520,BTM 2nd Stage,1274.0,2.0,2,70.0
522,BTM 2nd Stage,1070.0,2.0,2,48.0
523,BTM 2nd Stage,1280.0,2.0,2,80.0
524,BTM 2nd Stage,1100.0,2.0,2,70.0
525,BTM 2nd Stage,1000.0,2.0,2,58.0
526,BTM 2nd Stage,2990.0,5.0,5,416.0
527,BTM 2nd Stage,1265.0,2.0,2,55.0
528,BTM 2nd Stage,2200.0,3.0,3,220.0
529,BTM 2nd Stage,2780.0,4.0,3,325.0
530,BTM 2nd Stage,2400.0,2.0,3,360.0
531,BTM 2nd Stage,965.0,2.0,2,56.0
532,BTM 2nd Stage,1147.0,2.0,2,75.0
533,BTM 2nd Stage,1750.0,3.0,3,172.0
534,BTM 2nd Stage,1400.0,2.0,2,90.0
535,BTM 2nd Stage,1200.0,2.0,2,70.0
536,BTM 2nd Stage,1100.0,2.0,2,47.0
537,BTM 2nd Stage,930.0,2.0,2,46.0
539,BTM 2nd Stage,2500.0,3.0,3,345.0
542,Babusapalaya,1611.0,2.0,3,66.0
544,Babusapalaya,1675.0,3.0,3,75.0
545,Babusapalaya,1141.0,2.0,2,46.0
546,Babusapalaya,1500.0,2.0,2,57.0
548,Babusapalaya,1050.0,2.0,2,45.0
549,Babusapalaya,1141.0,2.0,2,45.9
551,Babusapalaya,1230.0,3.0,3,53.0
552,Babusapalaya,1105.0,2.0,2,40.0
553,Babusapalaya,1410.0,2.0,3,65.0
554,Babusapalaya,1450.0,2.0,2,55.99
555,Babusapalaya,1100.0,2.0,2,38.0
557,Babusapalaya,1061.0,2.0,2,33.84
558,Babusapalaya,1061.0,2.0,2,38.95
559,Babusapalaya,1061.0,2.0,2,34.0
560,Babusapalaya,1245.0,2.0,2,58.0
561,Balagere,1210.0,2.0,2,80.9
562,Balagere,1210.0,2.0,2,72.0
563,Balagere,1205.0,2.0,2,78.5
564,Balagere,790.5,1.0,1,41.9
567,Balagere,1020.07,2.0,2,68.38
568,Balagere,1205.47,2.0,2,81.0
569,Balagere,1007.0,2.0,2,65.0
571,Balagere,1210.0,2.0,2,74.0
572,Balagere,1210.0,2.0,2,83.0
573,Balagere,675.0,1.0,1,45.0
574,Balagere,656.0,1.0,1,43.0
576,Balagere,1012.0,2.0,2,64.0
577,Balagere,1007.0,2.0,2,62.0
578,Balagere,1007.0,2.0,2,67.0
579,Balagere,1007.0,2.0,2,66.0
582,Balagere,645.0,1.0,1,34.18
585,Balagere,790.5,1.0,1,42.295
586,Balagere,1012.0,2.0,2,65.0
587,Balagere,656.0,1.0,1,38.77
588,Balagere,645.0,1.0,1,39.0
589,Balagere,645.0,1.0,1,41.0
590,Balagere,1210.0,2.0,2,82.0
591,Balagere,656.0,1.0,1,34.77
592,Balagere,1205.0,2.0,2,73.87
593,Balagere,1012.0,2.0,2,70.0
594,Balagere,1007.0,2.0,2,68.0
596,Balagere,1205.0,2.0,2,79.0
597,Balagere,1012.0,2.0,2,68.0
599,Banashankari,1077.0,2.0,2,37.64
600,Banashankari,1470.0,2.0,3,88.64
601,Banashankari,1300.0,2.0,3,75.0
602,Banashankari,1800.0,3.0,3,115.0
603,Banashankari,1125.0,2.0,2,63.0
605,Banashankari,1310.0,2.0,2,80.0
606,Banashankari,2600.0,4.0,3,135.0
607,Banashankari,1900.0,2.0,3,170.0
608,Banashankari,1260.0,2.0,2,75.0
609,Banashankari,1170.0,2.0,2,46.79
611,Banashankari,1350.0,2.0,3,83.0
613,Banashankari,1330.0,2.0,2,78.0
614,Banashankari,1400.0,2.0,3,78.0
615,Banashankari,1700.0,3.0,3,125.0
616,Banashankari,1020.0,2.0,2,40.79
617,Banashankari,1600.0,2.0,2,63.98
618,Banashankari,1041.0,2.0,2,36.44
619,Banashankari,2400.0,1.0,1,200.0
620,Banashankari,1390.0,2.0,2,86.0
621,Banashankari,1460.0,2.0,2,70.0
622,Banashankari,1200.0,2.0,2,60.0
623,Banashankari,1290.0,2.0,2,80.0
624,Banashankari,2582.0,5.0,3,250.0
625,Banashankari,1186.0,2.0,2,65.0
626,Banashankari,1650.0,3.0,3,101.0
628,Banashankari,1181.0,2.0,2,75.0
629,Banashankari,1105.0,2.0,2,90.0
630,Banashankari,720.0,1.0,1,60.0
